"ID","Full name","First names","Surname now","Surname at birth","Gender","Deceased","Mother ID","Mother name","Father ID","Father name","Partner ID","Partner name","Ex-partner IDs","Birth year","Birth month","Birth day","Death year","Death month","Death day","Email","Website","Blog","Photo site","Home tel","Work tel","Mobile","Skype","Address","Other contact","Birth place","Death place","Burial place","Burial year","Burial month","Burial day","Profession","Company","Interests","Activities","Bio notes",
"START","Amanda SMITH","Amanda","","SMITH","F","","YP839","Jean Ann KENNEDY","RY759","Stephen Edward SMITH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"YXUXN","Anthony Paul SHRIVER","Anthony Paul","","SHRIVER","M","","HDZZK","Eunice Mary KENNEDY","AE4OF","Robert Sargent SHRIVER","","","","1965","7","20","","","","","","","","","","","","","","Boston, MA","","","","","","","","","","",
"U85IL","Aristotle ONASSIS","Aristotle","","ONASSIS","M","","","","","","","","LGQMC","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"VGULL","Arnold SCHWARZENEGGER","Arnold","","SCHWARZENEGGER","M","","","","","","JMHL7","Maria SHRIVER","","","","","","","","","","","","","","","","","","","","","","","","Actor","","","","",
"FIJFM","Caroline Bouvier KENNEDY","Caroline Bouvier","","KENNEDY","F","","LGQMC","Jacqueline BOUVIER","YFZWP","John Fitzgerald KENNEDY","","","","1957","11","27","","","","","","","","","","","","","","New York","","","","","","","","","","",
"UCMSZ","Charles BURKE","Charles","","BURKE","M","","","","","","VVVEH","Margaret KENNEDY","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MW4Z7","Christopher LAWFORD","Christopher","","LAWFORD","M","","RGFJS","Patricia KENNEDY","WK9N9","Peter LAWFORD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"LQ3VL","Christopher George KENNEDY","Christopher George","","KENNEDY","M","","GDFNM","Ethel SKAKEL","KWJO9","Robert Francis KENNEDY","","","","1963","6","4","","","","","","","","","","","","","","Boston, MA","","","","","","","","","","",
"F2FJT","David Anthony KENNEDY","David Anthony","","KENNEDY","M","","GDFNM","Ethel SKAKEL","KWJO9","Robert Francis KENNEDY","","","","1954","","","","","","","","","","","","","","","","","","","","","","","","","","",
"RW335","Douglas Harriman KENNEDY","Douglas Harriman","","KENNEDY","M","","GDFNM","Ethel SKAKEL","KWJO9","Robert Francis KENNEDY","","","","1967","3","24","","","","","","","","","","","","","","Washington, DC","","","","","","","","","","",
"UT8MC","Edward Moore KENNEDY","Edward Moore","","KENNEDY","M","","RTPH6","Rose FITZGERALD","NBOBP","Joseph Patrick KENNEDY","HA1H6","Virginia Joan BENNETT","","1932","2","22","","","","","","","","","","","","","","Brookline, MA","","","","","","","","","","Enlisted in the Navy during World War II.Was known as ""Teddy"".",
"HHI0R","Edward More KENNEDY","Edward More","","KENNEDY","M","","HA1H6","Virginia Joan BENNETT","UT8MC","Edward Moore KENNEDY","","","","1961","9","26","","","","","","","","","","","","","","","","","","","","","","","","",
"GDFNM","Ethel SKAKEL","Ethel","","SKAKEL","F","","","","","","KWJO9","Robert Francis KENNEDY","","1928","","","","","","","","","","","","","","","","","","","","","","","","","","",
"HDZZK","Eunice Mary KENNEDY","Eunice Mary","","KENNEDY","F","","RTPH6","Rose FITZGERALD","NBOBP","Joseph Patrick KENNEDY","AE4OF","Robert Sargent SHRIVER","","1921","7","","","","","","","","","","","","","","","Boston, MA","","","","","","","","","","She helped in the many political campaigns of her brother, John Fitzgerald.She ran a summer home for retarded children.After her mother, Eunice was considered the family's model woman.",
"YBWOI","Hugh ACHINCLOSS","Hugh","","ACHINCLOSS","M","","","","","","LGN2U","Janet LEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"R8RBR","Humphrey MAHONEY","Humphrey","","MAHONEY","M","","","","","","WNHO7","Johanna KENNEDY","","","","","","","","","","","","","","","","","","","","","","","","Janitor","","","","",
