"ID","Full name","First names","Surname now","Surname at birth","Gender","Deceased","Mother ID","Mother name","Father ID","Father name","Partner ID","Partner name","Ex-partner IDs","Birth year","Birth month","Birth day","Death year","Death month","Death day","Email","Website","Blog","Photo site","Home tel","Work tel","Mobile","Skype","Address","Other contact","Birth place","Death place","Burial place","Burial year","Burial month","Burial day","Profession","Company","Interests","Activities","Bio notes",
"START","Margaret","","","Margaret","F","","","","","","L795G","Henry Shakespeare","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SWOZB","Abigail Webb","Abigail","","Webb","F","Y","","","EFGBL","John Alexander Webb","WICEH","Richard Shakesphere","","1515","6","6","1595","","","","","","","","","","","","","Stratford, Warwickshire, England","Stratford, Warwickshire, England","","","","","","","","","",
"V54TE","Agnes Webb","Agnes","","Webb","F","","","","EFGBL","John Alexander Webb","","","","1514","","","","","","","","","","","","","","","","","","","","","","","","","","",
"C84F0","Alexander Webb","Alexander","","Webb","M","Y","Y21KZ","Grace Arden","CLV1S","Henry Alexander Webb","TNK2Y","Margaret Arden","","1534","12","24","1573","","","","","","","","","","","","","Stratford, Warwickshire, England","Stratford, Warwickshire, England","","","","","","","","","",
"WDIHB","Anne Hathaway","Anne","","Hathaway","F","Y","","","","","CJYDC","William Shakesphere","","1556","","","1623","8","6","","","","","","","","","","","Shottery, Warwickshire, England","Stratford, On Avon, Warwickshire, England","","","","","","","","","",
"PZ9UH","Elizabeth Hall","Elizabeth","","Hall","F","Y","N1XG5","Susanna Shakesphere","ES983","John Hall","F9EHA","John Barnard","L5DOP","1608","2","21","1670","2","17","","","","","","","","","","","England","Abington Hall, Abington, Northamptonshire, England","","","","","","","","","",
"BJNRQ","Geofrey Webb","Geofrey","","Webb","M","","","","EEZ33","Henry Webb","","","","1372","4","12","","","","","","","","","","","","","","Warwickshire, England","","","","","","","","","","Charles M. Selleck, A.M. (Rev.), Norwalk, Connecticut (parts 1 & 2),(Norwalk, Co:Pub by arthur, 1896), F/104/N9/S4/1896, in custody of NewEngland Historic Library, Boston, Suffolk County, Mass. p398.",
"Y21KZ","Grace Arden","Grace","","Arden","F","","","","","","CLV1S","Henry Alexander Webb","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"EEZ33","Henry Webb","Henry","","Webb","M","","","","","","","","","1350","5","15","","","","","","","","","","","","","","Warwickshire, England","","","","","","","","","","James Brintnall Webb, WEBB Genealogy from 1350, copied, M. Bartlett, forBMS 1989, INC., Spanish Point, Florida (Webb Family), in custody of BettyMargaret Webb Styler, Sarasota, Florida.",
"L795G","Henry Shakespeare","Henry","","Shakespeare","M","Y","SWOZB","Abigail Webb","WICEH","Richard Shakesphere","START","Margaret","","1538","","","1596","","","","","","","","","","","","","Snitterfield, Warwickshire, England","Snitterfield, Warwickshire, England","","","","","","","","","",
