"ID","Full name","First names","Surname now","Surname at birth","Gender","Deceased","Mother ID","Mother name","Father ID","Father name","Partner ID","Partner name","Ex-partner IDs","Birth year","Birth month","Birth day","Death year","Death month","Death day","Email","Website","Blog","Photo site","Home tel","Work tel","Mobile","Skype","Address","Other contact","Birth place","Death place","Burial place","Burial year","Burial month","Burial day","Profession","Company","Interests","Activities","Bio notes",
"W53MH","Liu","","","Liu","F","Y","","","","","VOGUN","Dàn Lǐ","","","","","693","","","","","","","","","","","","","","","","","","","","","","","",
"QY5YV","Dou","","","Dou","F","","","","","","","","VOGUN","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"JKM44","Yang","","","Yang","F","Y","","","","","KGXVP","Longji Lǐ","","","","","729","","","","","","","","","","","","","","","","","","","","","","","",
"START","Wei","","","Wei","F","Y","","","","","","","IYA6T","","","","710","7","21","","","","","","","","","","","","","","","","","","","","","",
"NCGJZ","Zhao","","","Zhao","F","","","","","","IYA6T","Xiǎn Lǐ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"EW0XT","Dou","","","Dou","F","","","","","","HOCPV","Yuān Lǐ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"K969L","Zhangsun","","","Zhangsun","F","Y","","","","","Q13XE","Shìmín Lǐ","","601","7","28","636","","","","","","","","","","","","","","","","","","","","","","","",
"F5D6R","Ang Lǐ","Ang","","Lǐ","M","Y","","","OOC5J","Heng Lǐ","","","","809","","","840","","","","","","","","","","","","","","","","","","","","","","","",
"L1AO6","Bing Lǐ","Bing","","Lǐ","M","Y","","","","","","","JGU5R","","","","572","","","","","","","","","","","","","","","","","","","","","","","",
"Y1ZZF","Chen Lǐ","Chen","","Lǐ","M","Y","","","JGDB2","Chun Lǐ","","","","810","","","859","","","","","","","","","","","","","","","","","","","","","","","",
"Q8SS7","Chongmao Lǐ","Chongmao","","Lǐ","M","Y","START","Wei","IYA6T","Xiǎn Lǐ","","","","695","","","714","9","5","","","","","","","","","","","","","","","","","","","","","",
"SIO63","Chu Lǐ","Chu","","Lǐ","M","Y","","","WQ2O9","Heng Lǐ","","","","726","","","779","","","","","","","","","","","","","","","","","","","","","","","",
"JGDB2","Chun Lǐ","Chun","","Lǐ","M","Y","","","XJ217","Song Lǐ","","","","778","","","820","","","","","","","","","","","","","","","","","","","","","","","",
"RN01O","Cui Lǐ","Cui","","Lǐ","M","Y","","","Y1ZZF","Chen Lǐ","","","","833","11","14","873","","","","","","","","","","","","","","","","","","","","","","","",
"VOGUN","Dàn Lǐ","Dàn","","Lǐ","M","Y","IPQL4","Mei Wu","XJ09Y","Zhinu Lǐ","W53MH","Liu","QY5YV","662","6","22","716","7","13","","","","","","","","","","","","","","","","","","","","","",
"OOC5J","Heng Lǐ","Heng","","Lǐ","M","Y","","","JGDB2","Chun Lǐ","","","","795","","","824","","","","","","","","","","","","","","","","","","","","","","","",
"WQ2O9","Heng Lǐ","Heng","","Lǐ","M","Y","JKM44","Yang","KGXVP","Longji Lǐ","","","","711","2","21","762","5","16","","","","","","","","","","","","","","","","","","","","","",
"U2YVE","Kuo Lǐ","Kuo","","Lǐ","M","Y","","","SIO63","Chu Lǐ","","","","742","","","805","","","","","","","","","","","","","","","","","","","","","","","",
"KGXVP","Longji Lǐ","Longji","","Lǐ","M","Y","QY5YV","Dou","VOGUN","Dàn Lǐ","JKM44","Yang","","685","9","8","762","5","3","","","","","","","","","","","","","","","","","","","","","",
"IPQL4","Mei Wu","Mei","","Wu","F","Y","","","","","XJ09Y","Zhinu Lǐ","","625","","","705","2","22","","","","","","","","","","","","","","","","","","","","","",
"Q13XE","Shìmín Lǐ","Shìmín","","Lǐ","M","Y","EW0XT","Dou","HOCPV","Yuān Lǐ","K969L","Zhangsun","","599","1","23","649","7","10","","","","","","","","","","","","","","","","","","","","","",
"XJ217","Song Lǐ","Song","","Lǐ","M","Y","","","U2YVE","Kuo Lǐ","","","","761","","","806","","","","","","","","","","","","","","","","","","","","","","","",
"IYA6T","Xiǎn Lǐ","Xiǎn","","Lǐ","M","Y","IPQL4","Mei Wu","XJ09Y","Zhinu Lǐ","NCGJZ","Zhao","START","656","11","26","710","7","3","","","","","","","","","","","","","","","","","","","","","",
"NL3WH","Xuan Lǐ","Xuan","","Lǐ","M","Y","","","RN01O","Cui Lǐ","","","","862","","","888","","","","","","","","","","","","","","","","","","","","","","","",
"F20AU","Yan Lǐ","Yan","","Lǐ","M","Y","","","OOC5J","Heng Lǐ","","","","814","","","846","","","","","","","","","","","","","","","","","","","","","","","",
"BT82I","Ye Lǐ","Ye","","Lǐ","M","Y","","","RN01O","Cui Lǐ","","","","867","","","904","","","","","","","","","","","","","","","","","","","","","","","",
"HOCPV","Yuān Lǐ","Yuān","","Lǐ","M","Y","JGU5R","","L1AO6","Bing Lǐ","EW0XT","Dou","","566","","","635","","","","","","","","","","","","","","","","","","","","","","","",
"SPODL","Zhan Lǐ","Zhan","","Lǐ","M","Y","","","OOC5J","Heng Lǐ","","","","809","","","826","","","","","","","","","","","","","","","","","","","","","","","",
"XJ09Y","Zhinu Lǐ","Zhinu","","Lǐ","M","Y","K969L","Zhangsun","Q13XE","Shìmín Lǐ","IPQL4","Mei Wu","","628","7","21","683","12","27","","","","","","","","","","","","","","","","","","","","","",
"DRYTV","Zhu Lǐ","Zhu","","Lǐ","M","Y","","","BT82I","Ye Lǐ","","","","892","","","908","","","","","","","","","","","","","","","","","","","","","","","",
"JGU5R","","","","","","","","","","","","","L1AO6","","","","","","","","","","","","","","","","","","","","","","","","","","","",
